street_id,road_name,road_type,locality_name
383,ADRIAN,DRIVE,PAKENHAM
384,ADRIAN,PLACE,ROWVILLE
385,ADRIAN,ROAD,CAMPBELLFIELD
386,ADRIAN,STREET,BENTLEIGH EAST
387,ADRIAN,STREET,CHADSTONE
388,ADRIAN,STREET,GLEN IRIS
389,ADRIAN,STREET,SPRINGVALE
390,ADRIANA,CIRCUIT,BOTANIC RIDGE
391,ADRIANA,CLOSE,MOOROOLBARK
392,ADRIENNE,CLOSE,KEILOR PARK
393,ADRIENNE,COURT,MILLGROVE
394,ADRIENNE,CRESCENT,MOUNT WAVERLEY
395,ADVANCE,BOULEVARD,OFFICER SOUTH
396,ADVANTAGE,DRIVE,DANDENONG SOUTH
397,ADVANTAGE,ROAD,HIGHETT
398,ADVANTAGE,ROAD,SANDRINGHAM
399,ADVENTURE,AVENUE,FRASER RISE
400,ADVISORY,WAY,DIGGERS REST
401,AEGEAN,STREET,CLYDE NORTH
402,AENONE,AVENUE,NOBLE PARK
403,AEOLIAN,DRIVE,WOLLERT
404,AEROLINK,DRIVE,TULLAMARINE
405,AESOP,STREET,POINT COOK
406,AFFINITY,CLOSE,MORDIALLOC
407,AFFLECK,STREET,SOUTH YARRA
408,AFFLECK,WAY,ROWVILLE
409,AFFLUENT,STREET,FRASER RISE
410,AFFRA,PLACE,HAMPTON PARK
411,AFTON,COURT,GLEN WAVERLEY
412,AFTON,STREET,ABERFELDIE
413,AFTON,STREET,ELTHAM
414,AFTON,STREET,ESSENDON WEST
415,AFTON,STREET,RESEARCH
416,AFTON,WAY,ASPENDALE
417,AGANA,AVENUE,NOBLE PARK
418,AGATHA,STREET,ESSENDON
419,AGATHEA,COURT,FRANKSTON NORTH
420,AGE,PLACE,PAKENHAM
421,AGG,STREET,NEWPORT
422,AGG,STREET,THORNBURY
423,AGLOW,STREET,TRUGANINA
424,AGNES,AVENUE,BALWYN NORTH
425,AGNES,AVENUE,BLAIRGOWRIE
426,AGNES,COURT,GLEN WAVERLEY
427,AGNES,COURT,KURUNJANG
428,AGNES,STREET,BEAUMARIS
429,AGNES,STREET,BENTLEIGH EAST
430,AGNES,STREET,EAST MELBOURNE
431,AGNES,STREET,GEMBROOK
432,AGNES,STREET,MONT ALBERT
433,AGNES,STREET,NOBLE PARK
434,AGNES,STREET,ST ALBANS
435,AGNES,STREET,THORNBURY
436,AGNES,STREET,YARRAVILLE
437,AGNEW,STREET,BLACKBURN SOUTH
438,AGNEW,STREET,BRIGHTON EAST
439,AGNEW,WALK,TRUGANINA
440,AGNOLETO,COURT,BUNYIP
441,AGONIS,COURT,MILL PARK
442,AGONIS,COURT,MOUNT MARTHA
443,AGONIS,STREET,DOVETON
444,AGORA,BOULEVARD,FERNTREE GULLY
445,AGOSTA,DRIVE,LAVERTON NORTH
446,AGRA,STREET,MITCHAM
447,AHERN,PLACE,AVONDALE HEIGHTS
448,AHERN,ROAD,PAKENHAM
449,AHERN,STREET,NOBLE PARK NORTH
450,AHMET,PLACE,HILLSIDE (GREATER MELBOURNE)
451,AIDA,COURT,DONCASTER EAST
452,AIDEN,RISE,NARRE WARREN
453,AIDENS,WAY,BEACONSFIELD
454,AIF,STREET,BALWYN
455,AIKMAN,CRESCENT,CHADSTONE
456,AIKSHAW,CLOSE,HILLSIDE (GREATER MELBOURNE)
457,AILEEN,AVENUE,CAULFIELD SOUTH
458,AILEEN,AVENUE,HEIDELBERG WEST
459,AILEEN,AVENUE,MONTROSE
460,AILEEN,COURT,HALLAM
461,AILSA,AVENUE,MALVERN EAST
462,AILSA,COURT,BALWYN NORTH
463,AILSA,COURT,RINGWOOD
464,AILSA,COURT,SUNBURY
465,AILSA,GROVE,IVANHOE
466,AILSA,STREET,ALTONA MEADOWS
467,AILSA,STREET,ASCOT VALE
468,AILSA,STREET,BOX HILL SOUTH
469,AILSA,STREET,DANDENONG NORTH
470,AILSA,STREET,KEILOR
471,AILSA,STREET,LAVERTON
472,AILSA,STREET,MOUNT MARTHA
473,AILSWORTH,WAY,MICKLEHAM
474,AIMEE,COURT,MORNINGTON
475,AIMEE,PLACE,ROWVILLE
476,AINSDALE,AVENUE,WANTIRNA
477,AINSDALE,COURT,SUNBURY
478,AINSE,DRIVE,BERWICK
479,AINSLEIGH,COURT,CRANBOURNE
480,AINSLEIGH,COURT,NARRE WARREN
481,AINSLEY,AVENUE,NOBLE PARK
482,AINSLIE,DRIVE,WHEELERS HILL
483,AINSLIE,ROAD,CAMPBELLFIELD
484,AINSLIE PARK,AVENUE,CROYDON
485,AINSWORTH,COURT,ROXBURGH PARK
486,AINSWORTH,CRESCENT,DIGGERS REST
487,AINSWORTH,STREET,SUNSHINE WEST
488,AINSWORTH,WAY,CRIB POINT
489,AINTREE,AVENUE,DONCASTER EAST
490,AINTREE,AVENUE,MULGRAVE
491,AINTREE,AVENUE,POINT COOK
492,AINTREE,COURT,GREENSBOROUGH
