mb_code16,lon,lat
20016870000,145.0588511052,-37.7745943114
20016880000,145.0550310192,-37.7745494342
20016890000,145.0405843957,-37.7764670855
20016900000,145.0468145496,-37.7754050801
20016910000,145.0442434364,-37.7751527951
20016920000,145.0784298750,-37.7454301418
20016930000,145.0844202339,-37.7451071030
20016940000,145.0811924134,-37.7448536506
20016950000,145.0869946340,-37.7433400356
20016960000,145.0405390050,-37.7807099031
20016970000,145.0748136685,-37.7494859013
20016980000,145.0738619101,-37.7468118772
20016990000,145.0661109293,-37.7640631439
20017000000,145.0660453269,-37.7748095086
20017010000,145.0680300487,-37.7685802690
20017020000,145.0629742077,-37.7675150012
20017030000,145.0587569831,-37.7678804024
20017040000,145.0384716784,-37.7684218066
20017050000,145.0416258294,-37.7681651988
20017060000,145.0504525789,-37.7691006391
20017070000,145.0439773170,-37.7709099799
20017080000,145.0472328287,-37.7708278441
20017090000,145.0536679171,-37.7717017881
20017100000,145.0578323133,-37.7710795729
20018260000,145.0443333350,-37.7547739434
20018270000,145.0409576837,-37.7588487417
20018280000,145.0410442006,-37.7577498971
20018290000,145.0420615677,-37.7626449649
20018300000,145.0399560708,-37.7545087530
20018310000,145.0651870728,-37.7481296422
20018321000,145.0369868287,-37.7571430130
20018322000,145.0380721574,-37.7572900317
20018330000,145.0373001050,-37.7661019505
20018340000,145.0696050128,-37.7531912466
20018350000,145.0687256467,-37.7520336270
20018360000,145.0659268787,-37.7512716871
20018370000,145.0702283111,-37.7501981647
20018380000,145.0678686228,-37.7490225865
20018390000,145.0634980739,-37.7587749890
20018400000,145.0686049733,-37.7559121628
20018410000,145.0684850981,-37.7549352423
20018420000,145.0649117893,-37.7610282972
20018430000,145.0562061463,-37.7517163240
20018440000,145.0516350611,-37.7510413884
20018450000,145.0509073443,-37.7558160634
20018460000,145.0560874247,-37.7421882114
20018470000,145.0469262684,-37.7412622303
20018480000,145.0443114858,-37.7454867979
20018490000,145.0601750309,-37.7446364434
20018500000,145.0524470685,-37.7445359836
20018510000,145.0481654394,-37.7440285822
20018520000,145.0527102848,-37.7482453992
20018530000,145.0704990175,-37.7322984752
20018540000,145.0670300457,-37.7287629497
20018550000,145.0635174633,-37.7395003676
20018560000,145.0710089161,-37.7421026891
20018820000,145.0961788143,-37.7271035486
20018830000,145.0801915616,-37.7198380777
20018840000,145.0747469289,-37.7252851626
20018851000,145.0704442001,-37.7273157173
20018852000,145.0709031221,-37.7261179317
20018860000,145.0788996520,-37.7271861850
20018870000,145.0348609996,-37.7616673413
20018880000,145.0415721281,-37.7366222677
20018890000,145.0385555091,-37.7434183632
20018900000,145.0400665597,-37.7399276579
20018910000,145.0379800548,-37.7456282062
20018920000,145.0406097923,-37.7746448274
20018930000,145.0539394138,-37.7740659996
20018940000,145.0479941026,-37.7729295421
20018960000,145.0751428790,-37.7473086007
20018970000,145.0746370576,-37.7504135027
20017890000,145.0356446863,-37.7658735331
20017900000,145.0332643337,-37.7588601647
20017910000,145.0405895074,-37.7461819322
20019580000,145.0904224482,-37.7339660810
20019590000,145.0941987008,-37.7338460209
20019610000,145.1014863452,-37.7210281381
20019620000,145.1020356682,-37.7272624830
20019630000,145.0972043183,-37.7275210565
20019640000,145.0765021489,-37.7188313416
20019650000,145.0722165654,-37.7188908632
20019660000,145.0747122878,-37.7213366274
20019670000,145.0760772779,-37.7245815967
20019680000,145.0792782222,-37.7237138013
20018570000,145.0653218082,-37.7451163581
20018580000,145.0898341454,-37.7384953372
20018590000,145.0841982226,-37.7373682997
20018600000,145.0811802556,-37.7387999405
20018610000,145.0839949117,-37.7416867401
20018620000,145.0778479915,-37.7412389051
20018630000,145.0565436197,-37.7327785235
20018640000,145.0489687507,-37.7319615878
20018650000,145.0612556599,-37.7315747938
20018660000,145.0603621365,-37.7368783674
20018670000,145.0547279289,-37.7369136454
20018680000,145.0503389061,-37.7359357540
20018690000,145.0571303705,-37.7393600670
20018700000,145.0516247297,-37.7389900264
20018710000,145.0478092084,-37.7376082151
20018720000,145.0758436061,-37.7286677059
20018980000,145.0685740759,-37.7651259313
20018990000,145.0627878689,-37.7721487641
20018740000,145.0869998894,-37.7316900261
20018750000,145.0773711538,-37.7308618353
20018760000,145.0940835978,-37.7300789109
20018770000,145.0915568945,-37.7342337924
20018780000,145.0754076661,-37.7349076053
20018790000,145.0900234170,-37.7195755500
20018800000,145.0875507871,-37.7191307748
20018810000,145.1033282505,-37.7278074213
